Genre,Bass (Lows),Mid (Mids),Treble (Highs),Description
Blues,+4,+2,+3,"Warm bass, present vocals, and clear highs (e.g., guitar strings)."
Classical,+1,+3,+4,"Emphasizes dynamic range. Slight boosts for clarity and ""air."""
Country,+3,+4,+2,"Focuses on mid-range for vocals and guitar, with solid bass."
Disco,+6,0,+5,"Strong ""four-on-the-floor"" bass kick and shimmery cymbals."
Hiphop,+8,-2,+3,"Heavily boosted bass, slightly scooped mids, and clear percussion."
Jazz,+2,+3,+5,"Balances complex instrumentation, with boosts for clarity and cymbals."
Metal,+5,-6,+6,"The classic ""scooped mid"" sound for heavy guitars and drums."
Pop,+5,+2,+4,"Boosted lows and highs for an exciting ""smiley face"" curve."
Reggae,+7,-3,+2,"Bass-heavy groove, with mids often cut to make space for it."
Rock,+6,0,+5,"Powerful bass and drums, and crisp guitar/cymbal highs."
